,Configuration,R² Score
401,Only Connect Weight,0.5114444041946382
402,Only Connect Weight,0.4952284790381829
403,Only Connect Weight,0.5344622703690569
404,Only Connect Weight,0.5254300869909648
405,Only Connect Weight,0.5240075862667181
406,Only Connect Weight,0.5366550910832751
407,Only Connect Weight,0.49715007435232567
408,Only Connect Weight,0.5237416779008818
409,Only Connect Weight,0.5130727628931178
410,Only Connect Weight,0.5038555577471315
411,Only Connect Weight,0.5099179275710903
412,Only Connect Weight,0.5165056905263481
413,Only Connect Weight,0.5229590453468815
414,Only Connect Weight,0.5157649291334225
415,Only Connect Weight,0.5245541749681657
416,Only Connect Weight,0.503117239081834
417,Only Connect Weight,0.5174977367832136
418,Only Connect Weight,0.5191219687331019
419,Only Connect Weight,0.49800452431248543
